
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
577568        0x8D020         XML document, version: "1.0"
827887        0xCA1EF         Certificate in DER format (x509 v3), header length: 4, sequence length: 1140
829031        0xCA667         Certificate in DER format (x509 v3), header length: 4, sequence length: 481
829516        0xCA84C         Certificate in DER format (x509 v3), header length: 4, sequence length: 989
830509        0xCAC2D         Certificate in DER format (x509 v3), header length: 4, sequence length: 1091
831604        0xCB074         Certificate in DER format (x509 v3), header length: 4, sequence length: 1169
832777        0xCB509         Certificate in DER format (x509 v3), header length: 4, sequence length: 1194
833975        0xCB9B7         Certificate in DER format (x509 v3), header length: 4, sequence length: 929
834908        0xCBD5C         Certificate in DER format (x509 v3), header length: 4, sequence length: 761
856256        0xD10C0         Unix path: /dev/ashmem/dalvik-indirect
872480        0xD5020         XML document, version: "1.0"
917018        0xDFE1A         Minix filesystem, V1, big endian, 28765 zones
921186        0xE0E62         Minix filesystem, V1, big endian, 28765 zones
931930        0xE385A         Minix filesystem, V1, big endian, 28765 zones
1159392       0x11B0E0        SHA256 hash constants, little endian
4015977       0x3D4769        Certificate in DER format (x509 v3), header length: 4, sequence length: 5376
4158449       0x3F73F1        Certificate in DER format (x509 v3), header length: 4, sequence length: 8193
6012193       0x5BBD21        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
6012233       0x5BBD49        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
6012737       0x5BBF41        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
6015569       0x5BCA51        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
6015609       0x5BCA79        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
6015769       0x5BCB19        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
6017233       0x5BD0D1        Certificate in DER format (x509 v3), header length: 4, sequence length: 3
13631660      0xD000AC        Linux kernel version 3.10.1
13669352      0xD093E8        gzip compressed data, maximum compression, from Unix, last modified: 1970-01-01 00:00:00 (null date)
13912888      0xD44B38        DES SP2, little endian
13913656      0xD44E38        DES SP1, little endian
14144968      0xD7D5C8        CRC32 polynomial table, little endian
14807582      0xE1F21E        MySQL ISAM index file Version 5
14811837      0xE202BD        MySQL ISAM compressed data file Version 6
14942909      0xE402BD        MySQL ISAM compressed data file Version 6
15109893      0xE68F05        LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 256 bytes
15889106      0xF272D2        MPEG transport stream data
15889118      0xF272DE        MPEG transport stream data
15889262      0xF2736E        MPEG transport stream data
15889678      0xF2750E        MPEG transport stream data
17797952      0x10F9340       Unix path: /home/robert/MIT/6.858/final-project/Flashpoint-aosp/init/main.c
17798372      0x10F94E4       Unix path: /home/robert/MIT/6.858/final-project/Flashpoint-aosp/init/main.c
